date,cl
2020-11-16,2.1
2020-11-17,7.4
2020-11-18,9.8
2020-11-19,9.8
2020-11-20,6.6
2020-11-21,6.1
2020-11-22,7.8
2020-11-23,0.3
2020-11-24,6.1
2020-11-25,5.4
2020-11-26,5.5
2020-11-27,4.9
2020-11-28,2.9
2020-11-29,4.1
2020-11-30,0
2020-12-01,4.4
2020-12-02,6.6
2020-12-03,1
2020-12-04,0.9
2020-12-05,5.6
2020-12-06,4.3
2020-12-07,3.8
2020-12-08,0.4
2020-12-09,4.5
2020-12-10,7.8
2020-12-11,6.5
2020-12-12,1.8
2020-12-13,5.4
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,2.3
2020-12-18,4.1
2020-12-19,1.4
2020-12-20,0
2020-12-21,0.9
2020-12-22,4.8
2020-12-23,7.8
2020-12-24,1.3
2020-12-25,0.1
2020-12-26,3
2020-12-27,7.5
2020-12-28,5.3
2020-12-29,8.5
2020-12-30,0.8
2020-12-31,0.4
